,timestamp,value,price,value_classification
106,1529712000000                                     ,17,6088.57958984375,Extreme Fear                                      
107,1529798400000                                     ,15,6169.4375,Extreme Fear                                      
108,1529884800000                                     ,16,6159.70703125,Extreme Fear                                      
109,1529971200000                                     ,21,6241.8486328125,Extreme Fear                                      
110,1530057600000                                     ,18,6069.87255859375,Extreme Fear                                      
111,1530144000000                                     ,20,6117.03662109375,Extreme Fear                                      
112,1530230400000                                     ,16,5879.98876953125,Extreme Fear                                      
113,1530316800000                                     ,22,6182.2568359375,Extreme Fear                                      
114,1530403200000                                     ,27,6366.49951171875,Fear                                              
115,1530489600000                                     ,27,6312.87744140625,Fear                                              
116,1530576000000                                     ,31,6595.54736328125,Fear                                              
117,1530662400000                                     ,33,6497.607421875,Fear                                              
118,1530748800000                                     ,37,6562.7216796875,Fear                                              
119,1530835200000                                     ,34,6537.74072265625,Fear                                              
120,1530921600000                                     ,34,6603.294921875,Fear                                              
121,1531008000000                                     ,38,6759.8359375,Fear                                              
122,1531094400000                                     ,39,6700.63525390625,Fear                                              
123,1531180800000                                     ,37,6648.2568359375,Fear                                              
124,1531267200000                                     ,29,6303.380859375,Fear                                              
125,1531353600000                                     ,33,6373.23486328125,Fear                                              
126,1531440000000                                     ,29,6230.59033203125,Fear                                              
127,1531526400000                                     ,29,6248.3974609375,Fear                                              
128,1531612800000                                     ,32,6246.13720703125,Fear                                              
129,1531699200000                                     ,36,6349.69580078125,Fear                                              
130,1531785600000                                     ,39,6741.69189453125,Fear                                              
131,1531872000000                                     ,42,7303.373046875,Fear                                              
132,1531958400000                                     ,44,7334.771484375,Fear                                              
133,1532044800000                                     ,47,7442.80078125,Neutral                                           
134,1532131200000                                     ,43,7331.87158203125,Fear                                              
135,1532217600000                                     ,46,7379.13720703125,Fear                                              
136,1532304000000                                     ,44,7395.8662109375,Fear                                              
137,1532390400000                                     ,49,7704.99560546875,Neutral                                           
138,1532476800000                                     ,54,8422.3740234375,Neutral                                           
139,1532563200000                                     ,53,8144.5537109375,Neutral                                           
140,1532649600000                                     ,47,7929.0791015625,Neutral                                           
141,1532736000000                                     ,54,8145.3330078125,Neutral                                           
142,1532822400000                                     ,54,8192.1357421875,Neutral                                           
143,1532908800000                                     ,53,8197.59375,Neutral                                           
144,1532995200000                                     ,48,8185.9208984375,Neutral                                           
145,1533081600000                                     ,39,7738.24951171875,Fear                                              
146,1533168000000                                     ,39,7612.30078125,Fear                                              
147,1533254400000                                     ,36,7540.63330078125,Fear                                              
148,1533340800000                                     ,31,7411.66650390625,Fear                                              
149,1533427200000                                     ,23,7009.01220703125,Extreme Fear                                      
150,1533513600000                                     ,25,7036.609375,Extreme Fear                                      
151,1533600000000                                     ,25,6926.11669921875,Extreme Fear                                      
152,1533686400000                                     ,23,6711.732421875,Extreme Fear                                      
153,1533772800000                                     ,19,6259.52783203125,Extreme Fear                                      
154,1533859200000                                     ,21,6531.25,Extreme Fear                                      
155,1533945600000                                     ,18,6166.59033203125,Extreme Fear                                      
156,1534032000000                                     ,18,6205.21826171875,Extreme Fear                                      
157,1534118400000                                     ,21,6318.4072265625,Extreme Fear                                      
158,1534204800000                                     ,16,6283.99609375,Extreme Fear                                      
159,1534291200000                                     ,18,6212.22607421875,Extreme Fear                                      
160,1534377600000                                     ,21,6267.7685546875,Extreme Fear                                      
161,1534464000000                                     ,19,6309.38525390625,Extreme Fear                                      
162,1534550400000                                     ,24,6566.71533203125,Extreme Fear                                      
163,1534636800000                                     ,27,6382.060546875,Fear                                              
164,1534723200000                                     ,26,6475.494140625,Fear                                              
165,1534809600000                                     ,19,6242.88232421875,Extreme Fear                                      
166,1534896000000                                     ,21,6467.27197265625,Extreme Fear                                      
167,1534982400000                                     ,18,6336.65625,Extreme Fear                                      
168,1535068800000                                     ,19,6521.06591796875,Extreme Fear                                      
169,1535155200000                                     ,22,6684.37890625,Extreme Fear                                      
170,1535241600000                                     ,19,6736.0361328125,Extreme Fear                                      
171,1535328000000                                     ,18,6728.2880859375,Extreme Fear                                      
172,1535414400000                                     ,19,6911.09619140625,Extreme Fear                                      
173,1535500800000                                     ,19,7075.9833984375,Extreme Fear                                      
174,1535587200000                                     ,22,7046.7490234375,Extreme Fear                                      
175,1535673600000                                     ,17,7024.14501953125,Extreme Fear                                      
176,1535760000000                                     ,21,7027.63134765625,Extreme Fear                                      
177,1535846400000                                     ,18,7211.27099609375,Extreme Fear                                      
178,1535932800000                                     ,19,7305.27294921875,Extreme Fear                                      
179,1536019200000                                     ,26,7260.8974609375,Fear                                              
180,1536105600000                                     ,17,7359.462890625,Extreme Fear                                      
181,1536192000000                                     ,14,6764.9267578125,Extreme Fear                                      
182,1536278400000                                     ,17,6498.27978515625,Extreme Fear                                      
183,1536364800000                                     ,18,6397.81884765625,Extreme Fear                                      
184,1536451200000                                     ,13,6181.1943359375,Extreme Fear                                      
185,1536537600000                                     ,15,6260.7646484375,Extreme Fear                                      
186,1536624000000                                     ,18,6308.13525390625,Extreme Fear                                      
187,1536710400000                                     ,14,6278.9169921875,Extreme Fear                                      
188,1536796800000                                     ,20,6330.57421875,Extreme Fear                                      
189,1536883200000                                     ,23,6486.46142578125,Extreme Fear                                      
190,1536969600000                                     ,24,6500.01220703125,Extreme Fear                                      
191,1537056000000                                     ,28,6530.22119140625,Fear                                              
192,1537142400000                                     ,25,6506.24853515625,Extreme Fear                                      
193,1537228800000                                     ,21,6250.12158203125,Extreme Fear                                      
194,1537315200000                                     ,24,6347.0693359375,Extreme Fear                                      
195,1537401600000                                     ,24,6383.75390625,Extreme Fear                                      
196,1537488000000                                     ,31,6491.88525390625,Fear                                              
197,1537574400000                                     ,35,6753.83447265625,Fear                                              
198,1537660800000                                     ,38,6747.0322265625,Fear                                              
199,1537747200000                                     ,43,6711.029296875,Fear                                              
200,1537833600000                                     ,37,6596.1875,Fear                                              
201,1537920000000                                     ,37,6441.3115234375,Fear                                              
202,1538006400000                                     ,42,6462.79541015625,Fear                                              
203,1538092800000                                     ,42,6704.7041015625,Fear                                              
204,1538179200000                                     ,37,6634.76611328125,Fear                                              
205,1538265600000                                     ,34,6606.07373046875,Fear                                              
206,1538352000000                                     ,35,6626.0380859375,Fear                                              
207,1538438400000                                     ,33,6598.84130859375,Fear                                              
208,1538524800000                                     ,36,6524.60791015625,Fear                                              
209,1538611200000                                     ,29,6499.26220703125,Fear                                              
210,1538697600000                                     ,37,6578.70166015625,Fear                                              
211,1538784000000                                     ,34,6621.189453125,Fear                                              
212,1538870400000                                     ,29,6589.12451171875,Fear                                              
213,1538956800000                                     ,26,6584.83203125,Fear                                              
214,1539043200000                                     ,31,6653.08935546875,Fear                                              
215,1539129600000                                     ,28,6633.74560546875,Fear                                              
216,1539216000000                                     ,19,6582.455078125,Extreme Fear                                      
217,1539302400000                                     ,13,6234.36767578125,Extreme Fear                                      
218,1539388800000                                     ,15,6285.5927734375,Extreme Fear                                      
219,1539475200000                                     ,18,6314.88330078125,Extreme Fear                                      
220,1539561600000                                     ,20,6328.5546875,Extreme Fear                                      
221,1539648000000                                     ,24,6659.87548828125,Extreme Fear                                      
222,1539734400000                                     ,23,6635.12548828125,Extreme Fear                                      
223,1539820800000                                     ,26,6635.74169921875,Fear                                              
224,1539907200000                                     ,24,6517.51123046875,Extreme Fear                                      
225,1539993600000                                     ,21,6483.82763671875,Extreme Fear                                      
226,1540080000000                                     ,21,6532.6787109375,Extreme Fear                                      
227,1540166400000                                     ,27,6529.669921875,Fear                                              
228,1540252800000                                     ,24,6512.5888671875,Extreme Fear                                      
229,1540339200000                                     ,23,6472.7998046875,Extreme Fear                                      
230,1540425600000                                     ,25,6481.443359375,Extreme Fear                                      
231,1540512000000                                     ,29,6458.19140625,Fear                                              
232,1540598400000                                     ,33,6468.82666015625,Fear                                              
233,1540684800000                                     ,35,6457.05859375,Fear                                              
234,1540771200000                                     ,34,6481.3232421875,Fear                                              
235,1540857600000                                     ,31,6292.64794921875,Fear                                              
236,1540944000000                                     ,32,6331.78173828125,Fear                                              
237,1541030400000                                     ,29,6366.72021484375,Fear                                              
238,1541116800000                                     ,36,6379.97314453125,Fear                                              
239,1541203200000                                     ,36,6425.44140625,Fear                                              
240,1541289600000                                     ,41,6388.18994140625,Fear                                              
241,1541376000000                                     ,42,6351.06201171875,Fear                                              
242,1541462400000                                     ,42,6415.443359375,Fear                                              
243,1541548800000                                     ,48,6474.84716796875,Neutral                                           
244,1541635200000                                     ,51,6574.80126953125,Neutral                                           
245,1541721600000                                     ,47,6490.45458984375,Neutral                                           
246,1541808000000                                     ,52,6413.7822265625,Neutral                                           
247,1541894400000                                     ,54,6429.89892578125,Neutral                                           
248,1541980800000                                     ,52,6434.28466796875,Neutral                                           
249,1542067200000                                     ,56,6411.353515625,Greed                                             
250,1542153600000                                     ,49,6394.2890625,Neutral                                           
251,1542240000000                                     ,28,5788.6123046875,Fear                                              
252,1542326400000                                     ,23,5686.541015625,Extreme Fear                                      
253,1542412800000                                     ,24,5609.9560546875,Extreme Fear                                      
254,1542499200000                                     ,26,5599.19140625,Fear                                              
255,1542585600000                                     ,28,5638.861328125,Fear                                              
256,1542672000000                                     ,21,4889.19775390625,Extreme Fear                                      
257,1542758400000                                     ,15,4450.71142578125,Extreme Fear                                      
258,1542844800000                                     ,14,4613.4482421875,Extreme Fear                                      
259,1542931200000                                     ,12,4307.388671875,Extreme Fear                                      
260,1543017600000                                     ,15,4376.90478515625,Extreme Fear                                      
261,1543104000000                                     ,9,3895.8369140625,Extreme Fear                                      
262,1543190400000                                     ,17,4039.836669921875,Extreme Fear                                      
263,1543276800000                                     ,11,3811.923583984375,Extreme Fear                                      
264,1543363200000                                     ,14,3832.924560546875,Extreme Fear                                      
265,1543449600000                                     ,18,4267.24365234375,Extreme Fear                                      
266,1543536000000                                     ,19,4279.4755859375,Extreme Fear                                      
267,1543622400000                                     ,13,4009.689697265625,Extreme Fear                                      
268,1543708800000                                     ,15,4189.57373046875,Extreme Fear                                      
269,1543795200000                                     ,17,4124.59375,Extreme Fear                                      
270,1543881600000                                     ,12,3878.83935546875,Extreme Fear                                      
