,time,value,MA,PRICE
0,1520294400000,59,11526,11526
1,1520380800000,48,11127,10728
2,1520467200000,45,10751,10000
3,1520553600000,43,10419,9421
4,1520640000000,42,10190,9276
5,1520726400000,42,9974,8891
6,1520812800000,42,9908,9512
7,1520899200000,42,9823,9233
8,1520985600000,41,9756,9217
9,1521072000000,41,9611,8307
10,1521158400000,40,9497,8359
11,1521244800000,37,9224,8520
12,1521331200000,37,8982,8063
13,1521417600000,36,8820,8218
14,1521504000000,36,8749,8641
15,1521590400000,35,8717,8927
16,1521676800000,35,8724,8970
17,1521763200000,34,8654,8736
18,1521849600000,33,8617,8825
19,1521936000000,32,8563,8621
20,1522022400000,32,8578,8479
21,1522108800000,31,8562,8186
22,1522195200000,31,8500,7837
23,1522281600000,30,8488,7931
24,1522368000000,28,8389,7127
25,1522454400000,26,8231,6897
26,1522540800000,24,8053,6975
27,1522627200000,22,7859,6837
28,1522713600000,21,7709,7080
29,1522800000000,21,7585,7464
30,1522886400000,19,7423,6845
31,1522972800000,18,7276,6855
32,1523059200000,18,7134,6629
33,1523145600000,17,7048,6884
34,1523232000000,18,6962,6985
35,1523318400000,18,6930,6778
36,1523404800000,18,6924,6829
37,1523491200000,19,6919,6925
38,1523577600000,20,7010,7836
39,1523923200000,20,7097,8031
40,1524009600000,20,7134,7874
41,1524096000000,21,7248,8097
42,1524182400000,22,7377,8277
43,1524268800000,23,7547,8499
44,1524355200000,24,7728,8878
45,1524441600000,25,7891,8769
46,1524528000000,26,8082,8881
47,1524614400000,30,8344,9716
48,1524700800000,32,8517,8825
49,1524787200000,35,8643,9222
50,1524873600000,38,8726,8940
51,1524960000000,41,8851,9250
52,1525046400000,44,8962,9326
53,1525132800000,47,9046,9198
54,1525219200000,49,9094,9024
55,1525305600000,51,9116,9123
56,1525392000000,53,9187,9551
57,1525478400000,57,9255,9635
58,1525564800000,57,9260,9766
59,1525651200000,58,9329,9584
60,1525737600000,58,9337,9308
61,1525824000000,58,9356,9150
62,1525910400000,58,9356,9249
63,1525996800000,57,9323,8970
64,1526083200000,56,9251,8406
65,1526169600000,55,9202,8481
66,1526256000000,53,9162,8684
67,1526342400000,52,9084,8697
68,1526428800000,49,8979,8473
69,1526515200000,46,8849,8343
70,1526601600000,44,8711,8056
71,1526688000000,41,8610,8203
72,1526774400000,39,8522,8181
73,1526860800000,37,8449,8443
74,1526947200000,36,8393,8355
75,1527033600000,35,8357,8009
76,1527120000000,33,8273,7556
77,1527206400000,32,8171,7563
78,1527292800000,30,8060,7472
79,1527379200000,29,7956,7329
80,1527465600000,28,7863,7327
81,1527552000000,27,7777,7111
82,1527638400000,27,7709,7451
83,1527724800000,27,7636,7381
84,1527811200000,25,7547,7460
85,1527897600000,25,7468,7487
86,1527984000000,26,7428,7568
87,1528070400000,27,7435,7640
88,1528156800000,27,7426,7464
89,1528243200000,29,7435,7569
90,1528329600000,31,7460,7606
91,1528416000000,32,7486,7614
92,1528502400000,35,7527,7561
93,1528588800000,33,7524,7415
94,1528675200000,32,7468,6767
95,1528761600000,32,7415,6880
96,1528848000000,31,7333,6582
97,1528934400000,29,7221,6334
98,1529020800000,28,7131,6645
99,1529107200000,27,7035,6407
100,1529193600000,26,6935,6479
101,1529280000000,25,6828,6419
102,1529366400000,24,6742,6678
103,1529452800000,23,6665,6709
104,1529539200000,25,6601,6714
105,1529625600000,26,6594,6691
106,1529712000000,26,6522,6089
107,1529798400000,25,6485,6169
108,1529884800000,25,6469,6160
109,1529971200000,25,6432,6242
110,1530057600000,24,6402,6070
111,1530144000000,24,6369,6117
112,1530230400000,23,6320,5880
113,1530316800000,22,6275,6182
114,1530403200000,22,6244,6366
115,1530489600000,21,6207,6313
116,1530576000000,21,6199,6596
117,1530662400000,22,6236,6498
118,1530748800000,24,6271,6563
119,1530835200000,26,6306,6538
120,1530921600000,27,6339,6603
121,1531008000000,29,6401,6760
122,1531094400000,31,6454,6701
123,1531180800000,33,6524,6648
124,1531267200000,33,6535,6303
125,1531353600000,34,6536,6373
126,1531440000000,34,6528,6231
127,1531526400000,34,6497,6248
128,1531612800000,34,6474,6246
129,1531699200000,34,6455,6350
130,1531785600000,34,6473,6742
131,1531872000000,35,6537,7303
132,1531958400000,35,6589,7335
133,1532044800000,36,6657,7443
134,1532131200000,37,6719,7332
135,1532217600000,38,6817,7379
136,1532304000000,39,6909,7396
137,1532390400000,41,7044,7705
138,1532476800000,43,7241,8422
139,1532563200000,45,7414,8145
140,1532649600000,46,7557,7929
141,1532736000000,48,7685,8145
142,1532822400000,49,7766,8192
143,1532908800000,49,7844,8198
144,1532995200000,50,7912,8186
145,1533081600000,49,7949,7738
146,1533168000000,49,7970,7612
147,1533254400000,48,7983,7541
148,1533340800000,46,7956,7412
149,1533427200000,43,7828,7009
150,1533513600000,41,7727,7037
151,1533600000000,39,7636,6926
152,1533686400000,36,7506,6712
153,1533772800000,33,7330,6260
154,1533859200000,30,7178,6531
155,1533945600000,27,6995,6167
156,1534032000000,25,6856,6205
157,1534118400000,24,6738,6318
158,1534204800000,22,6624,6284
159,1534291200000,21,6515,6212
160,1534377600000,20,6447,6268
161,1534464000000,20,6381,6309
162,1534550400000,20,6348,6567
163,1534636800000,20,6318,6382
164,1534723200000,21,6338,6475
165,1534809600000,21,6312,6243
166,1534896000000,21,6339,6467
167,1534982400000,21,6351,6337
168,1535068800000,21,6370,6521
169,1535155200000,21,6406,6684
170,1535241600000,21,6454,6736
171,1535328000000,21,6495,6728
172,1535414400000,21,6550,6911
173,1535500800000,21,6596,7076
174,1535587200000,20,6657,7047
175,1535673600000,19,6707,7024
176,1535760000000,20,6778,7028
177,1535846400000,19,6846,7211
178,1535932800000,19,6934,7305
179,1536019200000,20,7001,7261
180,1536105600000,20,7062,7359
181,1536192000000,19,7065,6765
182,1536278400000,19,7044,6498
183,1536364800000,19,6997,6398
184,1536451200000,18,6916,6181
185,1536537600000,18,6845,6261
186,1536624000000,18,6780,6308
187,1536710400000,17,6712,6279
188,1536796800000,17,6631,6331
189,1536883200000,18,6557,6486
190,1536969600000,18,6488,6500
191,1537056000000,19,6412,6530
192,1537142400000,20,6389,6506
193,1537228800000,20,6366,6250
194,1537315200000,20,6362,6347
195,1537401600000,21,6380,6384
196,1537488000000,23,6401,6492
197,1537574400000,24,6442,6754
198,1537660800000,27,6484,6747
199,1537747200000,29,6519,6711
200,1537833600000,30,6529,6596
201,1537920000000,31,6524,6441
202,1538006400000,32,6517,6463
203,1538092800000,34,6535,6705
204,1538179200000,35,6570,6635
205,1538265600000,36,6594,6606
206,1538352000000,37,6616,6626
207,1538438400000,38,6626,6599
208,1538524800000,38,6605,6525
209,1538611200000,37,6582,6499
210,1538697600000,36,6570,6579
211,1538784000000,36,6573,6621
212,1538870400000,35,6586,6589
213,1538956800000,34,6597,6585
214,1539043200000,33,6592,6653
215,1539129600000,32,6592,6634
216,1539216000000,31,6590,6582
217,1539302400000,29,6555,6234
218,1539388800000,27,6526,6286
219,1539475200000,25,6507,6315
220,1539561600000,25,6492,6329
221,1539648000000,23,6499,6660
222,1539734400000,22,6500,6635
223,1539820800000,22,6504,6636
224,1539907200000,22,6498,6518
225,1539993600000,21,6483,6484
226,1540080000000,20,6474,6533
227,1540166400000,21,6469,6530
228,1540252800000,22,6494,6513
229,1540339200000,23,6511,6473
230,1540425600000,23,6526,6481
231,1540512000000,24,6538,6458
232,1540598400000,25,6521,6469
233,1540684800000,26,6505,6457
234,1540771200000,27,6491,6481
235,1540857600000,28,6470,6293
236,1540944000000,29,6456,6332
237,1541030400000,29,6441,6367
238,1541116800000,30,6428,6380
239,1541203200000,31,6420,6425
240,1541289600000,33,6412,6388
241,1541376000000,34,6400,6351
242,1541462400000,36,6396,6415
243,1541548800000,37,6397,6475
244,1541635200000,38,6407,6575
245,1541721600000,40,6408,6490
246,1541808000000,41,6419,6414
247,1541894400000,43,6428,6430
248,1541980800000,46,6434,6434
249,1542067200000,47,6437,6411
250,1542153600000,49,6434,6394
251,1542240000000,47,6380,5789
252,1542326400000,46,6319,5687
253,1542412800000,44,6246,5610
254,1542499200000,42,6167,5599
255,1542585600000,40,6082,5639
256,1542672000000,38,5936,4889
257,1542758400000,34,5758,4451
258,1542844800000,31,5592,4613
259,1542931200000,27,5399,4307
260,1543017600000,23,5214,4377
261,1543104000000,20,4987,3896
262,1543190400000,19,4828,4040
263,1543276800000,17,4658,3812
264,1543363200000,17,4496,3833
265,1543449600000,16,4375,4267
266,1543536000000,15,4251,4279
267,1543622400000,14,4171,4010
268,1543708800000,14,4148,4190
269,1543795200000,15,4103,4125
270,1543881600000,15,4064,3879
271,1543968000000,15,4025,3944
272,1544054400000,15,4012,3752
273,1544140800000,15,3960,3467
274,1544227200000,15,3923,3409
275,1544313600000,15,3886,3425
276,1544400000000,15,3821,3551
277,1544486400000,14,3744,3434
278,1544572800000,15,3687,3379
279,1544659200000,14,3618,3438
280,1544745600000,14,3543,3295
281,1544832000000,14,3483,3217
282,1544918400000,13,3417,3222
283,1545004800000,14,3368,3217
284,1545091200000,15,3372,3506
285,1545177600000,16,3394,3656
286,1545264000000,17,3418,3688
287,1545350400000,18,3465,4065
288,1545436800000,19,3503,3846
289,1545523200000,21,3555,3961
290,1545609600000,22,3601,3942
291,1545696000000,24,3667,4022
292,1545782400000,25,3717,3759
293,1545868800000,27,3768,3782
294,1545955200000,27,3801,3588
295,1546041600000,27,3833,3854
296,1546128000000,27,3844,3778
297,1546214400000,27,3855,3810
298,1546300800000,26,3821,3693
299,1546387200000,27,3817,3794
300,1546473600000,27,3808,3872
301,1546560000000,29,3793,3777
302,1546646400000,29,3775,3815
303,1546732800000,30,3777,3787
304,1546819200000,30,3798,4014
305,1546905600000,32,3835,3990
306,1546992000000,34,3846,3974
307,1547078400000,35,3864,3982
308,1547164800000,34,3847,3624
309,1547251200000,34,3842,3633
310,1547337600000,33,3824,3598
311,1547424000000,32,3790,3496
312,1547510400000,30,3778,3648
313,1547596800000,29,3756,3568
314,1547683200000,29,3738,3598
315,1547769600000,28,3703,3621
316,1547856000000,27,3667,3598
317,1547942400000,26,3640,3675
318,1548028800000,26,3600,3539
319,1548115200000,26,3591,3531
320,1548201600000,27,3586,3571
321,1548288000000,29,3582,3556
322,1548374400000,31,3588,3566
323,1548460800000,32,3581,3565
324,1548547200000,33,3580,3564
325,1548633600000,34,3576,3553
326,1548720000000,33,3559,3432
327,1548806400000,32,3542,3413
328,1548892800000,31,3523,3458
329,1548979200000,30,3513,3432
330,1549065600000,30,3507,3464
331,1549152000000,28,3499,3487
332,1549238400000,27,3490,3454
333,1549324800000,26,3481,3464
334,1549411200000,24,3472,3470
335,1549497600000,22,3458,3406
336,1549584000000,22,3443,3394
337,1549670400000,24,3464,3664
338,1549756800000,25,3487,3667
339,1549843200000,28,3507,3676
340,1549929600000,29,3525,3631
341,1550016000000,32,3541,3634
342,1550102400000,34,3552,3610
343,1550188800000,36,3564,3590
344,1550275200000,38,3577,3601
345,1550361600000,40,3591,3623
346,1550448000000,44,3614,3665
347,1550534400000,47,3659,3887
348,1550620800000,48,3682,3915
349,1550707200000,50,3710,3977
350,1550793600000,51,3733,3935
351,1550880000000,54,3764,3974
352,1550966400000,56,3808,4115
353,1551052800000,55,3820,3743
354,1551139200000,55,3842,3825
355,1551225600000,55,3861,3809
356,1551312000000,55,3878,3813
357,1551398400000,53,3892,3816
358,1551484800000,51,3885,3816
359,1551571200000,49,3877,3820
360,1551657600000,47,3861,3807
361,1551744000000,45,3841,3713
362,1551830400000,43,3830,3852
363,1551916800000,42,3807,3861
364,1552003200000,43,3818,3872
365,1552089600000,44,3822,3862
366,1552176000000,45,3834,3942
367,1552262400000,47,3844,3924
368,1552348800000,48,3848,3860
369,1552435200000,49,3853,3876
370,1552521600000,50,3858,3866
371,1552608000000,52,3864,3877
372,1552694400000,54,3883,3925
373,1552780800000,55,3897,4008
374,1552867200000,55,3908,3981
375,1552953600000,55,3919,3987
376,1553040000000,55,3933,4014
377,1553126400000,56,3942,4046
378,1553212800000,56,3948,3983
379,1553299200000,56,3959,3989
380,1553385600000,55,3971,4009
381,1553472000000,54,3983,3993
382,1553558400000,53,3987,3928
383,1553644800000,52,3989,3939
384,1553731200000,51,3991,4036
385,1553817600000,50,3996,4028
386,1553904000000,51,4006,4103
387,1553990400000,51,4014,4104
388,1554076800000,51,4020,4104
389,1554163200000,51,4034,4146
390,1554249600000,53,4114,4862
391,1554336000000,54,4200,4956
392,1554422400000,56,4282,4899
393,1554508800000,58,4381,5015
394,1554595200000,60,4481,5042
395,1554681600000,61,4585,5177
396,1554768000000,63,4698,5267
397,1554854400000,63,4795,5172
398,1554940800000,64,4904,5309
399,1555027200000,62,4990,5048
400,1555113600000,62,5075,5082
401,1555200000000,60,5095,5073
402,1555286400000,60,5112,5149
403,1555372800000,60,5125,5040
404,1555459200000,59,5143,5214
405,1555545600000,59,5159,5219
406,1555632000000,58,5168,5275
407,1555718400000,58,5169,5280
408,1555804800000,58,5182,5308
409,1555891200000,58,5182,5311
410,1555977600000,60,5212,5381
411,1556064000000,60,5255,5558
412,1556150400000,61,5290,5452
413,1556236800000,59,5295,5203
414,1556323200000,59,5318,5296
415,1556409600000,57,5322,5257
416,1556496000000,55,5325,5258
417,1556582400000,53,5319,5200
418,1556668800000,52,5320,5293
419,1556755200000,51,5324,5355
420,1556841600000,51,5337,5451
421,1556928000000,51,5368,5731
422,1557014400000,51,5391,5804
423,1557100800000,51,5418,5749
424,1557187200000,54,5464,5716
425,1557273600000,55,5514,5841
426,1557360000000,58,5578,5958
427,1557446400000,61,5661,6168
428,1557532800000,64,5767,6370
429,1557619200000,66,5946,7258
430,1557705600000,69,6091,6954
431,1557792000000,70,6305,7806
432,1557878400000,71,6510,7990
433,1557964800000,72,6728,8192
434,1558051200000,72,6921,7876
435,1558137600000,72,7069,7343
436,1558224000000,73,7202,7301
437,1558310400000,73,7402,8169
438,1558396800000,73,7567,7977
439,1558483200000,72,7711,7958
440,1558569600000,71,7748,7666
441,1558656000000,70,7831,7862
442,1558742400000,69,7846,7977
443,1558828800000,68,7851,8038
444,1558915200000,68,7891,8631
445,1559001600000,68,7976,8816
446,1559088000000,69,8102,8727
447,1559174400000,69,8225,8651
448,1559260800000,68,8238,8311
