,time,value,MA,PRICE
449,1559347200000,67,8292,8576
450,1559433600000,67,8346,8554
451,1559520000000,67,8444,8744
452,1559606400000,65,8473,8174
453,1559692800000,61,8446,7684
454,1559779200000,58,8425,7812
455,1559865600000,54,8352,7821
456,1559952000000,53,8281,8036
457,1560038400000,53,8210,7943
458,1560124800000,50,8120,7668
459,1560211200000,50,8092,8003
460,1560297600000,50,8031,7898
461,1560384000000,50,7993,8145
462,1560470400000,50,7946,8228
463,1560556800000,53,7992,8672
464,1560643200000,58,8095,8819
465,1560729600000,62,8201,8979
466,1560816000000,68,8337,9313
467,1560902400000,69,8433,9094
468,1560988800000,71,8555,9286
469,1561075200000,75,8726,9548
470,1561161600000,77,8918,10118
471,1561248000000,79,9173,10705
472,1561334400000,80,9419,10846
473,1561420800000,82,9675,11046
474,1561507200000,84,9960,11808
475,1561593600000,85,10340,12996
476,1561680000000,83,10540,11179
477,1561766400000,82,10816,12352
478,1561852800000,82,11078,11973
479,1561939200000,80,11224,10888
480,1562025600000,78,11323,10639
481,1562112000000,78,11387,10823
482,1562198400000,77,11502,11976
483,1562284800000,76,11537,11230
484,1562371200000,75,11532,10987
485,1562457600000,72,11484,11279
486,1562544000000,71,11342,11436
487,1562630400000,73,11440,12260
488,1562716800000,73,11458,12544
489,1562803200000,72,11475,12166
490,1562889600000,69,11521,11385
491,1562976000000,69,11627,11805
492,1563062400000,68,11681,11419
493,1563148800000,62,11527,10285
494,1563235200000,59,11498,10911
495,1563321600000,54,11366,9539
496,1563408000000,52,11219,9657
497,1563494400000,49,11146,10636
498,1563580800000,44,10989,10537
499,1563667200000,41,10829,10774
500,1563753600000,39,10687,10607
501,1563840000000,40,10592,10343
502,1563926400000,35,10422,9936
503,1564012800000,34,10275,9799
504,1564099200000,34,10238,9878
505,1564185600000,36,10141,9846
506,1564272000000,35,10133,9448
507,1564358400000,33,10122,9535
508,1564444800000,32,10020,9511
509,1564531200000,31,9931,9568
510,1564617600000,33,9867,10063
511,1564704000000,34,9844,10361
512,1564790400000,36,9861,10529
513,1564876800000,40,9939,10791
514,1564963200000,42,10044,10952
515,1565049600000,46,10220,11819
516,1565136000000,46,10371,11510
517,1565222400000,50,10601,11971
518,1565308800000,54,10827,12024
519,1565395200000,57,11040,11853
520,1565481600000,58,11200,11328
521,1565568000000,57,11335,11550
522,1565654400000,56,11428,11381
523,1565740800000,51,11462,10904
524,1565827200000,47,11392,10016
525,1565913600000,44,11332,10296
526,1566000000000,40,11196,10325
527,1566086400000,37,11079,10224
528,1566172800000,34,10928,10310
529,1566259200000,32,10826,10896
530,1566345600000,28,10725,10744
531,1566432000000,24,10615,10124
532,1566518400000,23,10486,10128
533,1566604800000,22,10396,10386
534,1566691200000,24,10327,10145
535,1566777600000,27,10333,10090
536,1566864000000,27,10337,10335
537,1566950400000,28,10323,10168
538,1567036800000,28,10280,9753
539,1567123200000,28,10205,9485
540,1567209600000,26,10086,9589
541,1567296000000,27,9983,9607
542,1567382400000,29,9947,9729
543,1567468800000,30,9965,10323
544,1567555200000,31,9986,10620
545,1567641600000,31,10025,10574
546,1567728000000,31,10069,10570
547,1567814400000,32,10070,10351
548,1567900800000,33,10097,10462
549,1567987200000,35,10156,10404
550,1568073600000,37,10232,10322
551,1568160000000,38,10280,10121
552,1568246400000,40,10330,10151
553,1568332800000,41,10391,10401
554,1568419200000,40,10394,10356
555,1568505600000,40,10369,10350
