time,value,MA,PRICE
1540166400000,21,6469,6530
1540252800000,22,6494,6513
1540339200000,23,6511,6473
1540425600000,23,6526,6481
1540512000000,24,6538,6458
1540598400000,25,6521,6469
1540684800000,26,6505,6457
1540771200000,27,6491,6481
1540857600000,28,6470,6293
1540944000000,29,6456,6332
1541030400000,29,6441,6367
1541116800000,30,6428,6380
1541203200000,31,6420,6425
1541289600000,33,6412,6388
1541376000000,34,6400,6351
1541462400000,36,6396,6415
1541548800000,37,6397,6475
1541635200000,38,6407,6575
1541721600000,40,6408,6490
1541808000000,41,6419,6414
1541894400000,43,6428,6430
1541980800000,46,6434,6434
1542067200000,47,6437,6411
1542153600000,49,6434,6394
1542240000000,47,6380,5789
1542326400000,46,6319,5687
1542412800000,44,6246,5610
1542499200000,42,6167,5599
1542585600000,40,6082,5639
1542672000000,38,5936,4889
1542758400000,34,5758,4451
1542844800000,31,5592,4613
1542931200000,27,5399,4307
1543017600000,23,5214,4377
1543104000000,20,4987,3896
1543190400000,19,4828,4040
1543276800000,17,4658,3812
1543363200000,17,4496,3833
1543449600000,16,4375,4267
1543536000000,15,4251,4279
1543622400000,14,4171,4010
1543708800000,14,4148,4190
1543795200000,15,4103,4125
1543881600000,15,4064,3879
1543968000000,15,4025,3944
1544054400000,15,4012,3752
1544140800000,15,3960,3467
1544227200000,15,3923,3409
1544313600000,15,3886,3425
1544400000000,15,3821,3551
1544486400000,14,3744,3434
1544572800000,15,3687,3379
1544659200000,14,3618,3438
1544745600000,14,3543,3295
1544832000000,14,3483,3217
1544918400000,13,3417,3222
1545004800000,14,3368,3217
1545091200000,15,3372,3506
1545177600000,16,3394,3656
1545264000000,17,3418,3688
1545350400000,18,3465,4065
1545436800000,19,3503,3846
1545523200000,21,3555,3961
1545609600000,22,3601,3942
1545696000000,24,3667,4022
1545782400000,25,3717,3759
1545868800000,27,3768,3782
1545955200000,27,3801,3588
1546041600000,27,3833,3854
1546128000000,27,3844,3778
1546214400000,27,3855,3810
1546300800000,26,3821,3693
1546387200000,27,3817,3794
1546473600000,27,3808,3872
1546560000000,29,3793,3777
1546646400000,29,3775,3815
1546732800000,30,3777,3787
1546819200000,30,3798,4014
1546905600000,32,3835,3990
1546992000000,34,3846,3974
1547078400000,35,3864,3982
1547164800000,34,3847,3624
1547251200000,34,3842,3633
1547337600000,33,3824,3598
1547424000000,32,3790,3496
1547510400000,30,3778,3648
1547596800000,29,3756,3568
1547683200000,29,3738,3598
1547769600000,28,3703,3621
1547856000000,27,3667,3598
1547942400000,26,3640,3675
1548028800000,26,3600,3539
1548115200000,26,3591,3531
1548201600000,27,3586,3571
1548288000000,29,3582,3556
1548374400000,31,3588,3566
1548460800000,32,3581,3565
1548547200000,33,3580,3564
1548633600000,34,3576,3553
1548720000000,33,3559,3432
1548806400000,32,3542,3413
1548892800000,31,3523,3458
1548979200000,30,3513,3432
1549065600000,30,3507,3464
1549152000000,28,3499,3487
1549238400000,27,3490,3454
1549324800000,26,3481,3464
1549411200000,24,3472,3470
1549497600000,22,3458,3406
1549584000000,22,3443,3394
1549670400000,24,3464,3664
1549756800000,25,3487,3667
1549843200000,28,3507,3676
1549929600000,29,3525,3631
1550016000000,32,3541,3634
1550102400000,34,3552,3610
1550188800000,36,3564,3590
1550275200000,38,3577,3601
