,timestamp,value,price,value_classification
113,1534291200000                                     ,18,6212.22607421875,Extreme Fear                                      
114,1534377600000                                     ,21,6267.7685546875,Extreme Fear                                      
115,1534464000000                                     ,19,6309.38525390625,Extreme Fear                                      
116,1534550400000                                     ,24,6566.71533203125,Extreme Fear                                      
117,1534636800000                                     ,27,6382.060546875,Fear                                              
118,1534723200000                                     ,26,6475.494140625,Fear                                              
119,1534809600000                                     ,19,6242.88232421875,Extreme Fear                                      
120,1534896000000                                     ,21,6467.27197265625,Extreme Fear                                      
121,1534982400000                                     ,18,6336.65625,Extreme Fear                                      
122,1535068800000                                     ,19,6521.06591796875,Extreme Fear                                      
123,1535155200000                                     ,22,6684.37890625,Extreme Fear                                      
124,1535241600000                                     ,19,6736.0361328125,Extreme Fear                                      
125,1535328000000                                     ,18,6728.2880859375,Extreme Fear                                      
126,1535414400000                                     ,19,6911.09619140625,Extreme Fear                                      
127,1535500800000                                     ,19,7075.9833984375,Extreme Fear                                      
128,1535587200000                                     ,22,7046.7490234375,Extreme Fear                                      
129,1535673600000                                     ,17,7024.14501953125,Extreme Fear                                      
130,1535760000000                                     ,21,7027.63134765625,Extreme Fear                                      
131,1535846400000                                     ,18,7211.27099609375,Extreme Fear                                      
132,1535932800000                                     ,19,7305.27294921875,Extreme Fear                                      
133,1536019200000                                     ,26,7260.8974609375,Fear                                              
134,1536105600000                                     ,17,7359.462890625,Extreme Fear                                      
135,1536192000000                                     ,14,6764.9267578125,Extreme Fear                                      
136,1536278400000                                     ,17,6498.27978515625,Extreme Fear                                      
137,1536364800000                                     ,18,6397.81884765625,Extreme Fear                                      
138,1536451200000                                     ,13,6181.1943359375,Extreme Fear                                      
139,1536537600000                                     ,15,6260.7646484375,Extreme Fear                                      
140,1536624000000                                     ,18,6308.13525390625,Extreme Fear                                      
141,1536710400000                                     ,14,6278.9169921875,Extreme Fear                                      
142,1536796800000                                     ,20,6330.57421875,Extreme Fear                                      
143,1536883200000                                     ,23,6486.46142578125,Extreme Fear                                      
144,1536969600000                                     ,24,6500.01220703125,Extreme Fear                                      
145,1537056000000                                     ,28,6530.22119140625,Fear                                              
146,1537142400000                                     ,25,6506.24853515625,Extreme Fear                                      
147,1537228800000                                     ,21,6250.12158203125,Extreme Fear                                      
148,1537315200000                                     ,24,6347.0693359375,Extreme Fear                                      
149,1537401600000                                     ,24,6383.75390625,Extreme Fear                                      
150,1537488000000                                     ,31,6491.88525390625,Fear                                              
151,1537574400000                                     ,35,6753.83447265625,Fear                                              
152,1537660800000                                     ,38,6747.0322265625,Fear                                              
153,1537747200000                                     ,43,6711.029296875,Fear                                              
154,1537833600000                                     ,37,6596.1875,Fear                                              
155,1537920000000                                     ,37,6441.3115234375,Fear                                              
156,1538006400000                                     ,42,6462.79541015625,Fear                                              
157,1538092800000                                     ,42,6704.7041015625,Fear                                              
158,1538179200000                                     ,37,6634.76611328125,Fear                                              
159,1538265600000                                     ,34,6606.07373046875,Fear                                              
160,1538352000000                                     ,35,6626.0380859375,Fear                                              
161,1538438400000                                     ,33,6598.84130859375,Fear                                              
162,1538524800000                                     ,36,6524.60791015625,Fear                                              
163,1538611200000                                     ,29,6499.26220703125,Fear                                              
164,1538697600000                                     ,37,6578.70166015625,Fear                                              
165,1538784000000                                     ,34,6621.189453125,Fear                                              
166,1538870400000                                     ,29,6589.12451171875,Fear                                              
167,1538956800000                                     ,26,6584.83203125,Fear                                              
168,1539043200000                                     ,31,6653.08935546875,Fear                                              
169,1539129600000                                     ,28,6633.74560546875,Fear                                              
170,1539216000000                                     ,19,6582.455078125,Extreme Fear                                      
171,1539302400000                                     ,13,6234.36767578125,Extreme Fear                                      
172,1539388800000                                     ,15,6285.5927734375,Extreme Fear                                      
173,1539475200000                                     ,18,6314.88330078125,Extreme Fear                                      
174,1539561600000                                     ,20,6328.5546875,Extreme Fear                                      
175,1539648000000                                     ,24,6659.87548828125,Extreme Fear                                      
176,1539734400000                                     ,23,6635.12548828125,Extreme Fear                                      
177,1539820800000                                     ,26,6635.74169921875,Fear                                              
178,1539907200000                                     ,24,6517.51123046875,Extreme Fear                                      
179,1539993600000                                     ,21,6483.82763671875,Extreme Fear                                      
180,1540080000000                                     ,21,6532.6787109375,Extreme Fear                                      
181,1540166400000                                     ,27,6529.669921875,Fear                                              
182,1540252800000                                     ,24,6512.5888671875,Extreme Fear                                      
183,1540339200000                                     ,23,6472.7998046875,Extreme Fear                                      
184,1540425600000                                     ,25,6481.443359375,Extreme Fear                                      
185,1540512000000                                     ,29,6458.19140625,Fear                                              
186,1540598400000                                     ,33,6468.82666015625,Fear                                              
187,1540684800000                                     ,35,6457.05859375,Fear                                              
188,1540771200000                                     ,34,6481.3232421875,Fear                                              
189,1540857600000                                     ,31,6292.64794921875,Fear                                              
190,1540944000000                                     ,32,6331.78173828125,Fear                                              
191,1541030400000                                     ,29,6366.72021484375,Fear                                              
192,1541116800000                                     ,36,6379.97314453125,Fear                                              
193,1541203200000                                     ,36,6425.44140625,Fear                                              
194,1541289600000                                     ,41,6388.18994140625,Fear                                              
195,1541376000000                                     ,42,6351.06201171875,Fear                                              
196,1541462400000                                     ,42,6415.443359375,Fear                                              
197,1541548800000                                     ,48,6474.84716796875,Neutral                                           
198,1541635200000                                     ,51,6574.80126953125,Neutral                                           
199,1541721600000                                     ,47,6490.45458984375,Neutral                                           
200,1541808000000                                     ,52,6413.7822265625,Neutral                                           
201,1541894400000                                     ,54,6429.89892578125,Neutral                                           
202,1541980800000                                     ,52,6434.28466796875,Neutral                                           
203,1542067200000                                     ,56,6411.353515625,Greed                                             
204,1542153600000                                     ,49,6394.2890625,Neutral                                           
205,1542240000000                                     ,28,5788.6123046875,Fear                                              
206,1542326400000                                     ,23,5686.541015625,Extreme Fear                                      
207,1542412800000                                     ,24,5609.9560546875,Extreme Fear                                      
208,1542499200000                                     ,26,5599.19140625,Fear                                              
209,1542585600000                                     ,28,5638.861328125,Fear                                              
210,1542672000000                                     ,21,4889.19775390625,Extreme Fear                                      
211,1542758400000                                     ,15,4450.71142578125,Extreme Fear                                      
212,1542844800000                                     ,14,4613.4482421875,Extreme Fear                                      
213,1542931200000                                     ,12,4307.388671875,Extreme Fear                                      
214,1543017600000                                     ,15,4376.90478515625,Extreme Fear                                      
215,1543104000000                                     ,9,3895.8369140625,Extreme Fear                                      
216,1543190400000                                     ,17,4039.836669921875,Extreme Fear                                      
217,1543276800000                                     ,11,3811.923583984375,Extreme Fear                                      
218,1543363200000                                     ,14,3832.924560546875,Extreme Fear                                      
219,1543449600000                                     ,18,4267.24365234375,Extreme Fear                                      
220,1543536000000                                     ,19,4279.4755859375,Extreme Fear                                      
221,1543622400000                                     ,13,4009.689697265625,Extreme Fear                                      
222,1543708800000                                     ,15,4189.57373046875,Extreme Fear                                      
223,1543795200000                                     ,17,4124.59375,Extreme Fear                                      
224,1543881600000                                     ,12,3878.83935546875,Extreme Fear                                      
